연번,기업명,전화번호,주소,산업분류
3349,피셈(주),031-224-4105,경기도 화성시 만세구 향남읍 관리 139-2,반도체 제조용 기계 제조업
3350,현진테크,,경기도 화성시 효행구 정남면 덕절리 367-3,절삭 가공 및 유사 처리업
3351,(주)아이에스옵틱스,031-352-7590,경기도 화성시 만세구 향남읍 송곡리 306,플라스틱 필름 제조업
3352,주식회사 흥인,031-352-7680,경기도 화성시 만세구 양감면 사창리 195-9,그 외 기타 분류 안된 화학제품 제조업
3353,빌리언(주),031-478-9082,경기도 화성시 만세구 장안면 독정리 737-19,그 외 자동차용 신품 부품 제조업
3354,하나전기,031-495-8001,경기도 화성시 만세구 팔탄면 율암리 134-10,배전반 및 전기 자동제어반 제조업
3355,엠테코,,경기도 화성시 만세구 향남읍 동오리 639-9,그 외 자동차용 신품 부품 제조업
3356,(주)범천정밀,031-371-4700,경기도 화성시 동탄구 능동 1056,그 외 금속 압형제품 제조업
3357,씨아이솔루션,,경기도 화성시 만세구 향남읍 요리 122,반도체 제조용 기계 제조업
3358,남호테크,031-8061-7929,경기도 화성시 만세구 팔탄면 가재리 30-1,주형 및 금형 제조업
3359,정남영농조합 분사무소,,경기도 화성시 효행구 정남면 신리 163-1,전분제품 및 당류 제조업
3360,(주)고려비철공업,031-354-5420,경기도 화성시 효행구 정남면 오일리 396-7,"알루미늄 제련, 정련 및 합금 제조업"
3361,세화샤링,031-239-5800,경기도 화성시 병점구 진안동 692-341,구조용 금속 판제품 및 공작물 제조업
3362,피피퍼니,,경기도 화성시 동탄구 능동 1126,기타 목재 가구 제조업
3363,(주)천후,031-353-6784,경기도 화성시 만세구 양감면 신왕리 347-2,전기회로 접속장치 제조업
3364,주식회사폴라리스세원,031-666-6611,경기도 화성시 만세구 향남읍 구문천리 921-2,자동차 엔진용 신품 부품 제조업
3365,고려씨엔테크,031-352-4843,경기도 화성시 만세구 팔탄면 서근리 103-72,기타 일반 기계 및 장비 수리업
3366,(주)한솔 에스피,031-355-5070,경기도 화성시 만세구 향남읍 구문천리 875-62,골판지 상자 및 가공제품 제조업
3367,에스티에이,,경기도 화성시 만세구 향남읍 동오리 59,기타 반도체 소자 제조업
3368,VERSA-TECH,031-278-1671,경기도 화성시 만세구 팔탄면 율암리 580-13,일반용 도료 및 관련제품 제조업
3369,천금특수용접,,경기도 화성시 효행구 정남면 괘랑리 333,그 외 기타 금속 가공업
3370,에스엠아이캔버스,,경기도 화성시 효행구 봉담읍 덕리 4-1,표구 처리업
3371,대명이엔지,031-354-5307,경기도 화성시 효행구 정남면 괘랑리 477,그 외 기타 전자 부품 제조업
3372,아이에이치테크,031-376-1801,경기도 화성시 효행구 정남면 보통리 497,전기·전자 및 정밀 기기 수리업
3373,윤성테크,,경기도 화성시 효행구 정남면 신리 58-3,커튼 및 유사 제품 제조업
3374,에코세니,,경기도 화성시 동탄구 영천동 836-2,화장품 제조업
3375,동국정밀,031-226-6293,경기도 화성시 효행구 배양동 68-1,"플라스틱 선, 봉, 관 및 호스 제조업"
3376,수 테크,,경기도 화성시 효행구 정남면 관항리 522-1,금속 성형기계 제조업
3377,원테크,,경기도 화성시 병점구 반정동 192-10,동력식 수지 공구 제조업
3378,대광산업,031-353-4435,경기도 화성시 만세구 향남읍 백토리 406,농업 및 임업용 기계 제조업
3379,주식회사티에스아이,031-223-2094,경기도 화성시 병점구 안녕동 178-109,그 외 기타 금속 가공업
3380,정석인더스트리 주식회사,061-725-2790,경기도 화성시 효행구 봉담읍 마하리 245-11,"플라스틱 포대, 봉투 및 유사제품 제조업"
3381,천지농산,031-355-7057,경기도 화성시 만세구 남양읍 온석리 302-1,천연 및 혼합 조제 조미료 제조업
3382,화성식품제조협동조합연합회,070-7799-0415,경기도 화성시 만세구 향남읍 상신리 874,그 외 기타 식료품 제조업
3383,서하금속,,경기도 화성시 만세구 송산면 칠곡리 227-4,알루미늄 주물 주조업
3384,(주)자바머신,031-356-8818,경기도 화성시 만세구 송산면 지화리 687-5,금속 성형기계 제조업
3385,동광에프에이(주),031-237-6544,경기도 화성시 만세구 양감면 대양리 550,반도체 제조용 기계 제조업
3386,(주)한일시스템즈,031-296-5114,경기도 화성시 만세구 향남읍 화리현리 452,"용기 세척, 포장 및 충전기 제조업"
3387,신세대,031-245-7800,경기도 화성시 효행구 정남면 발산리 544-3,"천막, 텐트 및 유사 제품 제조업"
3388,(주)태흥,,경기도 화성시 만세구 장안면 독정리 461-25,"기타 비철금속 제련, 정련 및 합금 제조업"
3389,선진월드텍,031-352-2870,경기도 화성시 만세구 팔탄면 구장리 33-2,주형 및 금형 제조업
3390,청해엔지니어링,031-238-8765,경기도 화성시 병점구 반정동 124-53,그 외 기타 일반 목적용 기계 제조업
3391,대신,,경기도 화성시 만세구 마도면 금당리 233-1,기타 목재 가구 제조업
3392,홀정밀,,경기도 화성시 만세구 팔탄면 율암리 580-7,절삭 가공 및 유사 처리업
3393,크래커마린,,경기도 화성시 만세구 서신면 전곡리 630-152,기타 일반 기계 및 장비 수리업
3394,옥골,,경기도 화성시 만세구 남양읍 온석리 230,복합비료 및 기타 화학비료 제조업
3395,일조산업,,경기도 화성시 만세구 장안면 독정리 79,"목재 보존, 방부처리, 도장 및 유사 처리업"
3396,디티에스,,경기도 화성시 효행구 정남면 제기리 419,"전자기 측정, 시험 및 분석 기구 제조업"
3397,한영FA산업,,경기도 화성시 만세구 장안면 매바위로 361-3,육상 금속 골조 구조재 제조업
3398,솔경산업,031-359-9673,경기도 화성시 효행구 정남면 괘랑리 1131-1,기타 인쇄업
3399,주식회사 삼정테크,031-352-6653,경기도 화성시 만세구 향남읍 백토리 195-20,주형 및 금형 제조업
3400,천지종합기계,,경기도 화성시 만세구 팔탄면 율암리 580-7,치과기공물 제조업
3401,주식회사 진안금속단조,031-297-7235,경기도 화성시 효행구 봉담읍 덕우리 158,볼트 및 너트류 제조업
3402,예피아,,경기도 화성시 동탄구 능동 1126,플라스틱 창호 제조업
3403,새롬산업,,경기도 화성시 병점구 안녕동 188-263,목재 깔판류 및 기타 적재판 제조업
3404,(주)세광테크,,경기도 화성시 만세구 장안면 석포공단길 23-8,알루미늄 주물 주조업
3405,제일프라스틱,031-352-5581,경기도 화성시 효행구 정남면 문학리 521-2,"플라스틱 포대, 봉투 및 유사제품 제조업"
3406,마일,,경기도 화성시 병점구 병점중앙로21번길 5,전동기 및 발전기 제조업
3407,(주)지오테크,,경기도 화성시 동탄구 영천동 846-2,디스플레이 제조용 기계 제조업
3408,에스더블유파트너스,,경기도 화성시 만세구 서신면 장외리 530-107,"금속 문, 창, 셔터 및 관련제품 제조업"
3409,화승고무,031-355-2450,경기도 화성시 효행구 정남면 문학리 404-2,고무 패킹류 제조업
3410,보우씨앤티,,경기도 화성시 만세구 우정읍 쌍봉로 501-21,운송장비 조립용 플라스틱제품 제조업
3411,한성정공,031-366-9241,경기도 화성시 만세구 팔탄면 율암리 134-1,볼트 및 너트류 제조업
3412,강현테크,031-354-1541,경기도 화성시 만세구 팔탄면 구장리 2-7,산업 처리공정 제어장비 제조업
3413,영풍수지,,경기도 화성시 효행구 봉담읍 복만터길 44-8,기타 종이 상자 및 용기 제조업
3414,아이엠티IMT,031-354-2422,경기도 화성시 만세구 팔탄면 구장리 127-26,기타 가정용 전기 기기 제조업
3415,용성철강상사,,경기도 화성시 만세구 마도면 청원리 240-1,그 외 기타 금속 가공업
3416,경동나비엔서비스,,경기도 화성시 병점구 안녕동 2,기타 일반 기계 및 장비 수리업
3417,서연시스템,031-353-5730,경기도 화성시 만세구 양감면 사창리 636,"고무, 화학섬유 및 플라스틱 성형기 제조업"
3418,(주)동윤,031-353-9906,경기도 화성시 효행구 정남면 관항리 222-8,수동식 식품 가공 기기 및 금속 주방용기 제조업
3419,(주)리노닉스,031-354-9494,경기도 화성시 효행구 정남면 귀래리 178-1,반도체 제조용 기계 제조업
3420,유진M테크,,경기도 화성시 효행구 정남면 괘랑리 519-6,그 외 기타 금속 가공업
3421,미르 테크,031-352-0056,경기도 화성시 만세구 양감면 사창리 464-5,산업 처리공정 제어장비 제조업
3422,현산엔지니어링,031-482-9222,경기도 화성시 효행구 정남면 귀래리 387-3,건설·광업용 기계 및 장비 수리업
3423,주식회사21세기,031-353-3155,경기도 화성시 동탄구 방교동 846-6,절삭 가공 및 유사 처리업
3424,동우정공,,경기도 화성시 만세구 양감면 용소리 539-1,절삭 가공 및 유사 처리업
3425,승재산업,031-354-7505,경기도 화성시 효행구 정남면 보통리 361-24,절삭 가공 및 유사 처리업
3426,태을정밀,031-356-9821,경기도 화성시 만세구 팔탄면 창곡리 271-4,주형 및 금형 제조업
3427,한일흑염소,031-353-3635,경기도 화성시 만세구 향남읍 행정리 399-11,건강 기능식품 제조업
3428,정밀종합상사,,경기도 화성시 효행구 정남면 문학리 350-6,그 외 기타 금속 가공업
3429,더블침장,,경기도 화성시 만세구 우정읍 매향리 944-1,침구 및 관련제품 제조업
3430,삼성수출포장,031-355-2688,경기도 화성시 만세구 마도면 청원리 351-70,"목재 포장용 상자, 드럼 및 유사 용기 제조업"
3431,(주)대원엔지니어링,031-354-7510,경기도 화성시 만세구 장안면 수촌리 1017-5,반도체 제조용 기계 제조업
3432,(주)세경산업,031-352-4847,경기도 화성시 만세구 팔탄면 노하리 30-19,플라스틱 필름 제조업
3433,주식회사 펀펀앤,,경기도 화성시 효행구 정남면 제기리 331-16,기타 목재 가구 제조업
3434,비앤비글로벌,,경기도 화성시 효행구 정남면 안념길150번길 46-54,기타 반도체 소자 제조업
3435,명성기전,031-351-4790,경기도 화성시 만세구 장안면 금의리 112-31,승강기 제조업
3436,동해엔프라,,경기도 화성시 효행구 봉담읍 왕림리 353-1,포장용 플라스틱 성형용기 제조업
3437,삼화에이스화성,070-4329-4591,경기도 화성시 병점구 반월동 344-2,가정용 및 산업용 공기 조화장치 제조업
3438,주식회사제이엠티,031-355-0962,경기도 화성시 만세구 송산면 중송리 387-1,자동차 재제조 부품 제조업
3439,칠성기업제2공장,031-354-4684,경기도 화성시 만세구 팔탄면 율암리 220-22,귀금속 및 관련제품 제조업
3440,남주기계,031-354-4020,경기도 화성시 효행구 비봉면 청요리 484-15,그 외 기타 특수 목적용 기계 제조업
3441,아이엔,031-215-8361,경기도 화성시 효행구 배양동 19-353,"물질 검사, 측정 및 분석 기구 제조업"
3442,주식회사바른기술단,,경기도 화성시 만세구 남양읍 온석리 3-26,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업"
3443,대운테크,,경기도 화성시 만세구 마도면 송정리 530-14,벽 및 바닥 피복용 플라스틱 제품 제조업
3444,한일산업기계,031-355-9033,경기도 화성시 만세구 마도면 금당리 214-17,그 외 기타 일반 목적용 기계 제조업
3445,주식회사 에이앤텍,031-235-4459,경기도 화성시 병점구 안녕동 123-2,금속 성형기계 제조업
3446,주식회사 플라엔,,경기도 화성시 동탄구 영천동 878-3,그 외 기타 전기장비 제조업
3447,(주) 디제이엠텍,,경기도 화성시 만세구 향남읍 구문천리 932-22,인쇄 및 제책용 기계 제조업
3448,상은조명산업,,경기도 화성시 동탄구 반송동 103-3,전구 및 램프 제조업
3449,(주)씬시어코퍼레이션,031-548-2187,경기도 화성시 효행구 봉담읍 동화리 564,경성 인쇄회로기판 제조업
3450,인알파코리아(주),031-369-8023,경기도 화성시 만세구 마도면 쌍송리 664-4,자동차 차체용 신품 부품 제조업
3451,20009덴탈랩,,경기도 화성시 동탄구 영천동 873-4,치과기공물 제조업
3452,한양아크릴,,경기도 화성시 병점구 반월동 340,플라스틱 시트 및 판 제조업
3453,말리부업,031-267-3323,경기도 화성시 만세구 우정읍 조암리 533,운송장비 조립용 플라스틱제품 제조업
3454,주식회사 서창에스피,031-8059-3480,경기도 화성시 만세구 팔탄면 율암리 842-35,플라스틱 필름 제조업
3455,엠아이에프알피,031-354-6141,경기도 화성시 만세구 팔탄면 가재리 24-1,포장용 플라스틱 성형용기 제조업
3456,주식회사바이오테크,031-372-8409,경기도 화성시 만세구 양감면 사창리 195-22,금속 위생용품 제조업
3457,성하테크,031-366-1201,경기도 화성시 만세구 향남읍 증거리 200-3,절삭 가공 및 유사 처리업
3458,우진테크,031-354-7050,경기도 화성시 만세구 팔탄면 기천리 895,"산업용 오븐, 노 및 노용 버너 제조업"
3459,엔제이팩토리,031-378-1256,경기도 화성시 만세구 향남읍 갈천리 5-4,그 외 기타 가구 제조업
3460,아라솔루션,,경기도 화성시 효행구 정남면 덕절리 85-4,"전자코일, 변성기 및 기타 전자 유도자 제조업"
3461,태양치과기공소,031-377-3346,경기도 화성시 동탄구 영천동 823-6,치과기공물 제조업
3462,(주)칼스엔비티,070-8059-4610,경기도 화성시 만세구 양감면 정문리 552-4,단미사료 및 기타 사료 제조업
3463,뉴텍,031-257-0013,경기도 화성시 효행구 정남면 신리 155-1,컨베이어 장치 제조업
3464,주식회사 이지테크놀로지,031-546-0683,경기도 화성시 만세구 장안면 독정리 580-11,반도체 제조용 기계 제조업
3465,파이스토스,,경기도 화성시 효행구 정남면 신리 306-2,이동 전화기 제조업
3466,에스앤에스SS,,경기도 화성시 만세구 양감면 요당리 19-36,기타 목재 가구 제조업
3467,디자인 디놈,,경기도 화성시 동탄구 여울동 978,전시용 모형 제조업
3468,유엔지니어링,070-4204-5779,경기도 화성시 효행구 봉담읍 태봉길 90-3,산업용 로봇 제조업
3469,장수캠핑카,,경기도 화성시 만세구 마도면 백곡리 80,차체 및 특장차 제조업
3470,경동천막산업,031-356-6611,경기도 화성시 만세구 마도면 두곡리 186-3,"천막, 텐트 및 유사 제품 제조업"
3471,파인텍,031-366-3890,경기도 화성시 효행구 정남면 문학리 714-27,"플라스틱 포대, 봉투 및 유사제품 제조업"
3472,주식회사 도운 화성봉담공장,,경기도 화성시 효행구 봉담읍 하가등리 296-10,"기타 비철금속 압연, 압출 및 연신제품 제조업"
3473,비텍,031-8043-2562,경기도 화성시 효행구 정남면 신리 191-11,구름베어링 제조업
3474,주식회사유리실크,031-297-5269,경기도 화성시 효행구 봉담읍 유리 179-3,스크린 인쇄업
3475,신웅하크텍,031-366-0646,경기도 화성시 만세구 향남읍 구문천리 930-10,그 외 기타 금속 가공업
3476,(주)태정산기,031-352-5770,경기도 화성시 효행구 정남면 금복리 42,산업용 냉장 및 냉동장비 제조업
3477,대일에스티,,경기도 화성시 만세구 서신면 전곡리 429-1,육상 금속 골조 구조재 제조업
3478,아라정밀,031-396-7513,경기도 화성시 만세구 팔탄면 노하리 282-14,포장용 플라스틱 성형용기 제조업
3479,가단기업,,경기도 화성시 만세구 남양읍 남양리 172,스크린 인쇄업
3480,신영,031-356-4214,경기도 화성시 만세구 마도면 쌍송리 662,경 인쇄업
3481,로얄앤컴퍼니주식회사,070-7464-8033,경기도 화성시 만세구 팔탄면 율암리 154-2,"탭, 밸브 및 유사 장치 제조업"
3482,아이언베일IronVeil,031-353-1848,경기도 화성시 효행구 정남면 덕절리 291-1,절삭 가공 및 유사 처리업
3483,찬장동탄점,031-377-1380,경기도 화성시 동탄구 산척동 728-5,과실 및 그 외 채소 절임식품 제조업
3484,가온산림,,경기도 화성시 만세구 송산면,표면 가공목재 및 특정 목적용 제재목 제조업
3485,금성화성,,경기도 화성시 효행구 정남면 음양리 317-6,부직포 및 펠트 제조업
3486,삼환정공,031-354-9083,경기도 화성시 만세구 향남읍 구문천리 935-7,주형 및 금형 제조업
3487,테솔루션,,경기도 화성시 만세구 양감면 사창리 1-5,육상 금속 골조 구조재 제조업
3488,소나무,031-359-8815,경기도 화성시 만세구 팔탄면 창곡리 27-17,기타 목재 가구 제조업
3489,주식회사 신흥기업,031-226-2207,경기도 화성시 효행구 배양동 68-20,인쇄 및 제책용 기계 제조업
3490,아이빅,,경기도 화성시 동탄구 영천동 823-6,산업 처리공정 제어장비 제조업
3491,주식회사네오아이티에스,031-8059-6380,경기도 화성시 효행구 정남면 백리 272-4,절삭 가공 및 유사 처리업
3492,더블유티엔에스 주식회사,,경기도 화성시 만세구 양감면 사창리 1023-17,액체 여과기 제조업
3493,케이지에스엔티,031-353-2066,경기도 화성시 만세구 향남읍 요리 130-1,도장 및 기타 피막 처리업
3494,에이엘탑ALTop,031-335-0988,경기도 화성시 만세구 장안면 독정리 355-29,산업용 로봇 제조업
3495,태광솔루션,031-233-1369,경기도 화성시 병점구 안녕동 178-49,반도체 제조용 기계 제조업
3496,공진금속,031-3543-4384,경기도 화성시 만세구 향남읍 하길리 1001-10,알루미늄 주물 주조업
3497,(주)엔에이치기공,031-366-4765,경기도 화성시 만세구 양감면 신왕리 1000-42,"금속 문, 창, 셔터 및 관련제품 제조업"
3498,삼우정공*,031-375-2867,경기도 화성시 동탄구 방교동 832-5,절삭 가공 및 유사 처리업
3499,(주)영산푸드,,경기도 화성시 효행구 정남면 고지리 203-25,육류 기타 가공 및 저장 처리업(가금류 제외)
3500,하은공방,,경기도 화성시 효행구 정남면 오일리 99-1,기타 목재 가구 제조업
3501,조광수지,,경기도 화성시 만세구 양감면 송산리 779,혼성 및 재생 플라스틱 소재 물질 제조업
3502,인더스트리 브릿지,,경기도 화성시 효행구 기안동 353,주형 및 금형 제조업
3503,성진테크,,경기도 화성시 효행구 정남면 귀래리 345-2,기타 가공 공작기계 제조업
3504,컨테이너아울렛,,경기도 화성시 만세구 양감면 정문리 83,기타 구조용 금속제품 제조업
3505,케이엔티,031-293-9779,경기도 화성시 효행구 봉담읍 세곡리 46-2,그 외 금속 압형제품 제조업
3506,창현건설,031-375-8155,경기도 화성시 효행구 정남면 덕절리 103-23,기타 구조용 금속제품 제조업
3507,"주식회사 정형피앤에프(Junghyung P and F Co., Ltd.)",,경기도 화성시 동탄구 반송동 107-7,액체 여과기 제조업
3508,정안산업,031-293-1542,경기도 화성시 효행구 봉담읍 수영리 306,그 외 기타 종이 및 판지 제품 제조업
3509,스타폴리캠,031-356-4443,경기도 화성시 만세구 서신면 상안리 267-18,합성수지 및 기타 플라스틱 물질 제조업
3510,쑥떡사랑,,경기도 화성시 만세구 팔탄면 서근리 103-21,떡류 제조업
3511,선우테크,031-351-4199,경기도 화성시 만세구 장안면 독정리 952-19,"플라스틱 선, 봉, 관 및 호스 제조업"
3512,(주)주현이엔지,,경기도 화성시 동탄구 영천동 873-5,디스플레이 제조용 기계 제조업
3513,태진케미칼(주),031-357-1739,경기도 화성시 만세구 마도면 청원리 351-65,"적층, 합성 및 특수 표면처리 종이 제조업"
3514,(주)월마텍,031-353-8422,경기도 화성시 효행구 정남면 제기리 311-2,액체 펌프 제조업
3515,주식회사 마스엔지니어링,031-8055-8233,경기도 화성시 만세구 우정읍 주곡리 161-352,"산업용 오븐, 노 및 노용 버너 제조업"
3516,솔트네오(Saltneo),,경기도 화성시 병점구 반월동 693-4,기타 무선 통신장비 제조업
3517,유진테크,,경기도 화성시 병점구 반월동 295-17,기타 가공 공작기계 제조업
3518,현대특장,031-352-6106,경기도 화성시 만세구 장안면 덕다리 1,차체 및 특장차 제조업
3519,에스디포,031-8055-3772,경기도 화성시 만세구 팔탄면 노하리 533-6,고무 패킹류 제조업
3520,진명,031-298-6125,경기도 화성시 효행구 봉담읍 유리 113-18,절삭 가공 및 유사 처리업
3521,아이언틸,,경기도 화성시 효행구 정남면 용수리 67-1,절삭 가공 및 유사 처리업
3522,에스에프퍼니처,,경기도 화성시 만세구 서신면 광평리 183-6,주방용 및 음식점용 목재 가구 제조업
3523,남강정밀,031-8041-9476,경기도 화성시 만세구 팔탄면 창곡리 54-1,절삭 가공 및 유사 처리업
3524,리치오토메이션,031-357-2320,경기도 화성시 만세구 팔탄면 서근리 1-71,배전반 및 전기 자동제어반 제조업
3525,명진산업,031-222-2495,경기도 화성시 병점구 안녕동 146-194,액체 여과기 제조업
3526,제이제이기술,,경기도 화성시 만세구 우정읍 이화리 709-18,기체 여과기 제조업
3527,가은시스템,031-445-0075,경기도 화성시 효행구 비봉면 구포리 190-6,방송장비 제조업
3528,지평씨엔씨CNC,031-359-9653,경기도 화성시 만세구 팔탄면 율암리 53-2,주형 및 금형 제조업
3529,글로리아,031-353-9561,경기도 화성시 만세구 향남읍 증거리 399,폴리스티렌 발포 성형제품 제조업
3530,그린씰 테크,031-296-8081,경기도 화성시 효행구 봉담읍 덕리 353,포장용 플라스틱 성형용기 제조업
3531,경동화학,,경기도 화성시 만세구 장안면 독정리 580-4,"탭, 밸브 및 유사 장치 제조업"
3532,청용주식회사,031-356-6882,경기도 화성시 만세구 송산면 사강리 369-12,도장 및 기타 피막 처리업
3533,어워드코리아,,경기도 화성시 만세구 장안면 수촌리 1473-1,가정용 및 장식용 도자기 제조업
3534,삼현컨테이너(주),031-366-7547,경기도 화성시 만세구 팔탄면 율암리 220-4,기타 구조용 금속제품 제조업
3535,케이엠이엔씨,,경기도 화성시 동탄구 영천동 832-3,주방용 및 음식점용 목재 가구 제조업
3536,이수코리아,,경기도 화성시 만세구 장안면 석포리 564-3,기타 인쇄업
3537,유엔디테크,031-358-1283,경기도 화성시 만세구 장안면 석포리 751-3,그 외 자동차용 신품 부품 제조업
3538,만경스틸,031-356-3506,경기도 화성시 만세구 장안면 석포공단길 10-4,그 외 기타 1차 철강 제조업
3539,태평그린바이오텍,031-357-7776,경기도 화성시 만세구 팔탄면 마곡길3번길 15,기타 식품 첨가물 제조업
3540,정현산업,031-356-6725,경기도 화성시 만세구 장안면 수촌리 1028-67,포장용 플라스틱 성형용기 제조업
3541,에스제이테크,041-563-4442,경기도 화성시 동탄구 영천동 832-2,주형 및 금형 제조업
3542,인천어망,,경기도 화성시 만세구 서신면 매화리 95,어망 및 기타 끈 가공품 제조업
3543,현성정밀,031-459-8336,경기도 화성시 만세구 팔탄면 율암리 465-12,주형 및 금형 제조업
3544,미소정밀,070-4412-3034,경기도 화성시 만세구 장안면 석포리 138-13,주형 및 금형 제조업
3545,주식회사티제이테크,,경기도 화성시 만세구 마도면 고모리 382-5,그 외 기타 일반 목적용 기계 제조업
3546,남도기계,,경기도 화성시 만세구 팔탄면 하저리 16-16,농업 및 임업용 기계 제조업
3547,에폰스화학공업(주),031-351-3215,경기도 화성시 만세구 장안면 사랑리 126-1,접착제 및 젤라틴 제조업
3548,엔피아텍,031-236-5862,경기도 화성시 병점구 반정동 263-6,절삭 가공 및 유사 처리업
3549,대광케미칼,031-366-3235,경기도 화성시 만세구 양감면 송산리 701-41,합성수지 및 기타 플라스틱 물질 제조업
3550,에이치엔엘 시스템 (H&L SYSTEM),,경기도 화성시 병점구 기산동 467,배전반 및 전기 자동제어반 제조업
3551,밸류테크,,경기도 화성시 병점구 기산동 230-5,절삭 가공 및 유사 처리업
3552,와이에스브이엠YSVM,031-8047-5218,경기도 화성시 만세구 팔탄면 매곡리 208-5,전자 응용 절삭기계 제조업
3553,한국이엔지,031-318-6711,경기도 화성시 효행구 정남면 용수리 60,절삭 가공 및 유사 처리업
3554,（주）패스트,031-8059-6074,경기도 화성시 효행구 정남면 음양리 924,산업 처리공정 제어장비 제조업
3555,와이에스시스템YSSystem,,경기도 화성시 동탄구 반송동 88-2,전기·전자 및 정밀 기기 수리업
3556,주식회사 셀팩,,경기도 화성시 만세구 양감면 정문리 464-1,기타 이차전지 제조업
3557,대원산업,031-359-9172,경기도 화성시 만세구 향남읍 동오리 82-18,절삭 가공 및 유사 처리업
3558,썬하이텍,031-353-4805,경기도 화성시 만세구 남양읍 온석리 84-8,자동차용 금속 압형제품 제조업
3559,태경정공(주),031-225-2338,경기도 화성시 병점구 안녕동 167-88,절삭 가공 및 유사 처리업
3560,영하공업,031-297-4754,경기도 화성시 효행구 봉담읍 분천리 96-41,유압 기기 제조업
3561,극동종합호이스트크레인 주식회사,031-359-8665,경기도 화성시 만세구 장안면 석포공단길 24-33,기타 물품 취급장비 제조업
3562,(주)비에스티솔루션,,경기도 화성시 만세구 양감면 신왕리 704-20,반도체 제조용 기계 제조업
3563,(주)세림피앤씨,031-354-7674,경기도 화성시 만세구 팔탄면 가재리 8-10,포장용 플라스틱 성형용기 제조업
3564,런웨이22,,경기도 화성시 병점구 반정동 124-48,맥아 및 맥주 제조업
3565,창일산업,031-223-9875,경기도 화성시 효행구 봉담읍 분천리 96-8,골판지 제조업
3566,주식회사 유맥에어,031-410-3262,경기도 화성시 만세구 남양읍 북양리 410-4,무인 항공기 및 무인 비행장치 제조업
3567,하이로드켐텍,033-435-0068,경기도 화성시 만세구 서신면 전곡리 1098-2,일반용 도료 및 관련제품 제조업
3568,우리정공주식회사,031-354-1855,경기도 화성시 만세구 양감면 송산리 15-15,주형 및 금형 제조업
3569,아이원테크,031-366-6555,경기도 화성시 만세구 팔탄면 가재리 238,속도계 및 적산계기 제조업
3570,성원정공,031-376-4042,경기도 화성시 효행구 정남면 덕절리 83,운송장비용 공기 조화장치 제조업
3571,유니프라텍,031-353-2385,경기도 화성시 효행구 비봉면 청요리 395-19,"플라스틱 선, 봉, 관 및 호스 제조업"
3572,주식회사 에이아이조명,031-548-2811,경기도 화성시 만세구 장안면 독정리 119-2,일반용 전기 조명장치 제조업
3573,（주）엘피스팩,031-366-5672,경기도 화성시 만세구 양감면 정문리 464-10,포장용 플라스틱 성형용기 제조업
3574,라온(RAON),,경기도 화성시 효행구 정남면 귀래리 494-1,기타 반도체 소자 제조업
3575,다성이앤지ENG(주),,경기도 화성시 만세구 남양읍 안석리 380,산업용 냉장 및 냉동장비 제조업
3576,아전펌프시스템,031-227-7255,경기도 화성시 만세구 팔탄면 가재리 253,기체 펌프 및 압축기 제조업
3577,정민산업,031-353-5713,경기도 화성시 만세구 양감면 사창리 637-3,디스플레이 제조용 기계 제조업
3578,에이에프텍,031-358-1933,경기도 화성시 만세구 장안면 독정리 733-6,기체 여과기 제조업
3579,(주)동도테크,070-3774-5160,경기도 화성시 동탄구 영천동 851,속도계 및 적산계기 제조업
3580,엘에스씨,031-354-9804,경기도 화성시 만세구 팔탄면 율암리 845-4,그 외 기타 특수 목적용 기계 제조업
3581,에스엘산업,031-630-2020,경기도 화성시 동탄구 영천동 853-1,플라스틱 시트 및 판 제조업
3582,대철테크(주),031-358-8383,경기도 화성시 만세구 장안면 석포리 684,"탭, 밸브 및 유사 장치 제조업"
3583,보화ENG,,경기도 화성시 만세구 서신면 송교리 42-147,배전반 및 전기 자동제어반 제조업
3584,문일프라스틱,031-352-0124,경기도 화성시 만세구 양감면 사창리 189-14,포장용 플라스틱 성형용기 제조업
3585,(주)쿨링시스템,,경기도 화성시 효행구 정남면 내리 129-7,기타 전기 변환장치 제조업
3586,화성농기계공업사,031-356-2985,경기도 화성시 만세구 남양읍 남양리 104,기타 일반 기계 및 장비 수리업
3587,엔진테크윈(주),031-8055-8153,경기도 화성시 만세구 남양읍 북양리 592-10,전동기 및 발전기 제조업
3588,김주완,,경기도 화성시 병점구 안녕동 158-37,전자 응용 절삭기계 제조업
3589,"(주)픽스컴(Fixcom co.,Ltd)",031-356-3916,경기도 화성시 만세구 팔탄면 하저리 931-1,기타 목재 가구 제조업
3590,태양벤딩,031-354-9431,경기도 화성시 만세구 팔탄면 창곡리 1034-7,절삭 가공 및 유사 처리업
3591,대영정밀,031-372-6334,경기도 화성시 효행구 정남면 덕절리 227,주형 및 금형 제조업
3592,퓨런코퍼레이션,031-353-4468,경기도 화성시 만세구 팔탄면 서근리 225,골판지 원지 제조업
3593,팩솔,,경기도 화성시 만세구 팔탄면 구장리 90,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
3594,(주)대성파텍*,031-354-3270,경기도 화성시 효행구 정남면 보통리 193-1,톱 및 호환성 공구 제조업
3595,만톤철강,031-684-9903,경기도 화성시 만세구 양감면 요당리 103,그 외 기타 1차 철강 제조업
3596,아이글스튜디오EiglStudio,,경기도 화성시 동탄구 반송동 19,디지털 적층 성형기계 제조업
