명칭,도로명주소,단지분류,동수,세대수,면적(제곱미터),관리사무소연락처,관리기관,관리자 연락처,데이터기준일
더레이크씨티부영2단지,경기도 화성시 동탄구 동탄대로8길 65,아파트,6,520,,031-373-9430,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 더 레이크 팰리스,경기도 화성시 동탄구 동탄대로8길 35,아파트,8,706,,031-373-9570,동탄구 도시건축과,031-5189-5137,2026-07-01
호수공원역 센트리체(더레이크씨티부영5단지),경기도 화성시 동탄구 동탄대로6길 50,아파트,11,868,,031-378-8772,동탄구 도시건축과,031-5189-5137,2026-07-01
레이크힐 반도유보라 아이비파크 10.2,경기도 화성시 동탄구 동탄순환대로10길 88,아파트,21,1515,,031-374-9610,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 더샵 레이크에듀타운,경기도 화성시 동탄구 동탄대로10길 20,아파트,16,1538,,031-373-4250,동탄구 도시건축과,031-5189-5137,2026-07-01
호수공원역센트럴시티,경기도 화성시 동탄구 동탄대로6길 20,아파트,12,1080,,031-378-2096,동탄구 도시건축과,031-5189-5137,2026-07-01
중흥S클래스 에듀하이,경기도 화성시 동탄구 동탄순환대로17길 31,아파트,16,1194,,031-378-2131,동탄구 도시건축과,031-5189-5137,2026-07-01
더 펠리체 휴먼빌,경기도 화성시 만세구 수노을1로 235,아파트,12,750,,031-357-0392,만세구 현장민원실,031-5189-1406,2026-07-01
송산그린시티반도유보라아이비파크,경기도 화성시 만세구 수노을1로 236,아파트,12,980,,031-355-0597,만세구 현장민원실,031-5189-1406,2026-07-01
송산이지더원레이크뷰,경기도 화성시 만세구 수노을1로 191,아파트,11,782,,031-355-1095,만세구 현장민원실,031-5189-1406,2026-07-01
송산신도시 대방노블랜드 더 퍼스티지 1차,경기도 화성시 만세구 수노을1로 148,아파트,8,731,,031-357-7670,만세구 현장민원실,031-5189-1406,2026-07-01
송산그린시티요진와이시티,경기도 화성시 만세구 수노을1로 147,아파트,9,680,,031-356-4025,만세구 현장민원실,031-5189-1406,2026-07-01
세영리첼 에듀파크,경기도 화성시 만세구 수노을중앙로 257,아파트,9,533,,031-355-8740,만세구 현장민원실,031-5189-1406,2026-07-01
송산신도시 대방노블랜드 리버스위트 2차 (대방2차),경기도 화성시 만세구 수노을1로 107,아파트,6,426,,031-365-3168,만세구 현장민원실,031-5189-1406,2026-07-01
송산신도시 대방노블랜드 더센트럴 3차 (대방3차),경기도 화성시 만세구 수노을1로 108,아파트,9,872,,031-365-3278,만세구 현장민원실,031-5189-1406,2026-07-01
금강펜테리움센트럴파크송산,경기도 화성시 만세구 수노을1로 192,아파트,9,692,,031-357-2841,만세구 현장민원실,031-5189-1406,2026-07-01
모아미래도 에듀포레,경기도 화성시 만세구 수노을중앙로 293,아파트,8,585,,031-356-5392,만세구 현장민원실,031-5189-1406,2026-07-01
송산그린시티5차 NOBLE LAND 리버파크,경기도 화성시 만세구 수노을1로 81,아파트,8,608,,031-357-4133,만세구 현장민원실,031-5189-1406,2026-07-01
송산그린시티6차 NOBLE LAND 리버파크,경기도 화성시 만세구 수노을1로 82,아파트,5,390,65536.0,031-355-7791,만세구 현장민원실,031-5189-1406,2026-07-01
송산그린시티 리안비채 테라스하우스 2단지,경기도 화성시 만세구 수노을중앙로 421,빌라/도시형,10,128,24170.94,031-357-3863,만세구 현장민원실,031-5189-1406,2026-07-01
송산그린시티 리안비채 테라스하우스 1단지,경기도 화성시 만세구 수노을중앙로 425,빌라/도시형,10,131,24056.93,031-355-2022,만세구 현장민원실,031-5189-1406,2026-07-01
동탄예당마을 롯데캐슬,경기도 화성시 동탄구 동탄반석로 231,아파트,16,1222,,031-8003-6036,동탄구 도시건축과,031-5189-6697,2026-07-01
동탄 예당마을 우미린제일풍경채,경기도 화성시 동탄구 동탄반석로 277,아파트,15,1316,,031-613-2084,동탄구 도시건축과,031-5189-6697,2026-07-01
동탄예당마을 푸르지오,경기도 화성시 동탄구 동탄반석로 264,아파트,9,978,,031-8003-2192,동탄구 도시건축과,031-5189-6697,2026-07-01
동탄 예당마을 신일유토빌,경기도 화성시 동탄구 동탄반석로 232,아파트,6,626,,031-8003-2201,동탄구 도시건축과,031-5189-6697,2026-07-01
동탄2 LH26단지(A65BL),경기도 화성시 동탄구 동탄대로9길 20,아파트,15,917,,031-372-2767,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄2신도시 하우스디 더 레이크,경기도 화성시 동탄구 동탄대로9길 19,아파트,14,1552,,031-374-3501,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄린스트라우스더레이크                               ,경기도 화성시 동탄구 동탄대로 181,아파트,6,956,,031-378-9465,동탄구 도시건축과,031-5189-5137,2026-07-01
우남블루존,경기도 화성시 병점구 화산북로 14,아파트,4,386,,031-222-2751,병점구 도시건축과,031-5189-4236,2026-07-01
솔뫼마을한승미메이드(1차),경기도 화성시 병점구 화산중앙로 34,아파트,10,669,,031-233-2841,병점구 도시건축과,031-5189-4236,2026-07-01
화성송산 동원로얄듀크포레,경기도 화성시 병점구 화산로 9,아파트,6,233,,031-236-8005,병점구 도시건축과,031-5189-4236,2026-07-01
화성 아너스포레,경기도 화성시 병점구 장조6로 41,아파트,15,688,,031-221-9654,병점구 도시건축과,031-5189-4236,2026-07-01
코스코밸리,경기도 화성시 만세구 송산면 백곡로 130,아파트,6,299,32271.0,031-357-5940,만세구 현장민원실,031-5189-3194,2026-07-01
동탄2 디에트르 포레,경기도 화성시 동탄구 동탄신리천로2길 65,아파트,13,1171,,031-378-8705,동탄구 도시건축과,031-5189-5137,2026-07-01
호반써밋 동탄,경기도 화성시 동탄구 동탄신리천로4길 48,아파트,9,744,,031-377-6680,동탄구 도시건축과,031-5189-5137,2026-07-01
제일풍경채퍼스티어,경기도 화성시 동탄구 동탄신리천로 618,아파트,4,308,,031-378-4865,동탄구 도시건축과,031-5189-5137,2026-07-01
e편한세상 동탄 파크아너스,경기도 화성시 동탄구 동탄신리천로7길 47,아파트,13,800,,031-372-9931,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 파크릭스 A52BL 아파트,경기도 화성시 동탄구 동탄신리천로5길 79,아파트,13,679,,031-372-4562,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 파크릭스 A55BL 아파트,경기도 화성시 동탄구 동탄신리천로5길 43,아파트,14,660,,031-377-4562,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 파크릭스 A51-1BL,경기도 화성시 동탄구 동탄신리천로5길 130,아파트,8,310,,031-375-4574,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄파크릭스 A51-2BL,경기도 화성시 동탄구 동탄신리천로5길 111,아파트,9,414,,031-375-3453,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 아테라 파밀리에,경기도 화성시 동탄구 동탄신리천로3길 59,아파트,9,640,,031-372-2369,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄 숨마 데시앙,경기도 화성시 동탄구 동탄신리천로3길 71,아파트,10,616,,031-372-2368,동탄구 도시건축과,031-5189-5137,2026-07-01
금강펜테리움6차센트럴파크,경기도 화성시 동탄구 동탄신리천로8길 46,아파트,14,1103,,031-374-0384,동탄구 도시건축과,031-5189-5137,2026-07-01
남수원현대아파트,경기도 화성시 병점구 화산로 10,아파트,7,558,,031-223-1618,병점구 도시건축과,031-5189-4236,2026-07-01
병점역 성호 플레르빌,경기도 화성시 병점구 한신대길 67,아파트,7,618,,031-232-1631,병점구 도시건축과,031-5189-4236,2026-07-01
남산마을 청광플러스원,경기도 화성시 병점구 안녕남로 16-20,아파트,4,278,,031-225-5727,병점구 도시건축과,031-5189-4236,2026-07-01
병점역 동문굿모닝힐,경기도 화성시 병점구 효행로 846,아파트,10,518,,031-898-6637,병점구 도시건축과,031-5189-4236,2026-07-01
아름마을신한미지엔아파트,경기도 화성시 병점구 효행로 707번길 7,아파트,13,708,,031-898-8476,병점구 도시건축과,031-5189-4236,2026-07-01
안녕동우방아이유쉘,경기도 화성시 병점구 안녕남로 246-21,아파트,8,796,,031-221-7058,병점구 도시건축과,031-5189-4236,2026-07-01
우미린 센트포레1단지,경기도 화성시 병점구 장조4로 13,아파트,12,650,,031-221-1195,병점구 도시건축과,031-5189-4236,2026-07-01
우미린 센트포레2단지,경기도 화성시 병점구 장조4로 33,아파트,11,650,,031-221-1902,병점구 도시건축과,031-5189-4236,2026-07-01
동탄퍼스트파크,경기도 화성시 동탄구 동탄순환대로30길 8,아파트,6,470,,031-378-3040,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 센트럴자이,경기도 화성시 동탄구 동탄대로22길 30,아파트,10,559,,031-377-1224,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역이지더원,경기도 화성시 동탄구 동탄순환대로28길 17,아파트,12,642,,031-376-7875,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 반도유보라아이비파크 2.0,경기도 화성시 동탄구 동탄순환대로26길 55,아파트,11,999,,031-377-7058,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 경남아너스빌,경기도 화성시 동탄구 동탄순환대로 25길 21,아파트,4,344,,031-378-3681,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 포레너스,경기도 화성시 동탄구 동탄대로24길 199,아파트,18,1316,,031-375-7734,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 푸르지오,경기도 화성시 동탄구 동탄순환대로 881-10,아파트,10,832,,031-378-9683,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 센트럴상록,경기도 화성시 동탄구 동탄대로 22길 9,아파트,9,1005,,031-374-4070,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 센트럴 예미지,경기도 화성시 동탄구 동탄순환대로 27길 45,아파트,5,451,,031-372-5176,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역동원로얄듀크1차,경기도 화성시 동탄구 동탄첨단산업2로 14,아파트,6,434,,031-373-9351,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄파크자이,경기도 화성시 동탄구 동탄대로24길 117,아파트,19,979,,031-377-8741,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄파크푸르지오,경기도 화성시 동탄구 동탄대로24가길 7,아파트,10,913,,031-378-4305,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄중흥s클래스파크더테라스,경기도 화성시 동탄구 동탄대로24길 74,아파트,10,162,,031-378-2575,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄 파크 한양수자인 ,경기도 화성시 동탄구 동탄대로 24가길 30,아파트,10,806,,031-375-6672,동탄구 도시건축과,031-5189-6740,2026-07-01
동원로얄듀크포레4차,경기도 화성시 동탄구 동탄첨단산업2로 88,주상복합,2,196,,031-373-7957,동탄구 도시건축과,031-5189-6740,2026-07-01
힐스테이트 동탄역,경기도 화성시 동탄구 동탄기흥로 585,주상복합,5,443,,031-378-4340,동탄구 도시건축과,031-5189-6740,2026-07-01
대방디엠시티 더센텀,경기도 화성시 동탄구 동탄대로 636-14,주상복합,3,463,,031-376-4772,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 금강펜테리움 더 시글로,경기도 화성시 동탄구 동탄대로23안길 30,주상복합,3,380,,031-378-5583,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄역 신미주,경기도 화성시 동탄구 동탄감배산로 30,아파트,8,538,,031-376-4301,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2 반도유보라 아이비파크3차,경기도 화성시 동탄구 동탄대로 12길 17,아파트,17,1135,,031-378-5605,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2 금강펜테리움 센트럴파크 1차,경기도 화성시 동탄구 동탄대로 12길 64,아파트,13,827,,031-372-7059,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 에일린의 뜰,경기도 화성시 동탄구 동탄기흥로 353번길 77,아파트,9,489,72039.0,031-377-3905,동탄구 도시건축과,031-5189-6742,2026-07-01
센트럴힐즈 동탄,경기도 화성시 동탄구 동탄대로 12길 71,아파트,8,652,,031-372-1379,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 반도유보라아이비파크5차,경기도 화성시 동탄구 동탄기흥로 393-15,아파트,5,545,,031-373-1390,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 반도유보라아이비파크6차,경기도 화성시 동탄구 동탄기흥로 479-12,아파트,6,532,,031-378-2391,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 더샵센트럴시티2차,경기도 화성시 동탄구 동탄감배산로 19,아파트,10,745,,031-378-6579,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 린스트라우스,경기도 화성시 동탄구 동탄역로 102,아파트,3,617,,031-378-6046,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 반도유보라아이비파크8차,경기도 화성시 동탄구 동탄광역환승로 73,아파트,5,671,,031-378-6146,동탄구 도시건축과,031-5189-6742,2026-07-01
중흥S클래스에코벨리,경기도 화성시 동탄구 동부대로 951,아파트,10,436,,031-374-3777,동탄구 도시건축과,031-5189-6742,2026-07-01
중흥S클래스 더 테라스 리버파크1,경기도 화성시 동탄구 동탄기흥로353번길 76,아파트,11,158,,031-8055-0864,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 반도유보라아이비파크 7차,경기도 화성시 동탄구 동탄광역환승로63,아파트,4,710,,031-378-8526,동탄구 도시건축과,031-5189-6742,2026-07-01
동양파라곤(동탄역파라곤),경기도 화성시 동탄구 동탄기흥로 393-20,주상복합,3,424,,031-378-3019,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 동원로얄듀크비스타3차,경기도 화성시 동탄구 동부대로 1062,주상복합,3,278,,031-378-2935,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 롯데캐슬 ,경기도 화성시 동탄구 동탄역로 150,주상복합,4,940,,031-378-4260,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 삼정그린코아,경기도 화성시 동탄구 동탄광역환승로 62,주상복합,1,183,,031-373-8437,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 예미지 시그너스,경기도 화성시 동탄구 동탄역로 196,주상복합,3,498,,031-373-8635,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 유림노르웨이숲,경기도 화성시 동탄구 동탄감배산로 143,주상복합,2,312,,031-373-0443,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 헤리엇,경기도 화성시 동탄구 동탄역로 54,아파트,9,428,,031-378-1055,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄역 디에트르 퍼스티지,경기도 화성시 동탄구 동탄오산로 29,주상복합,3,531,,031-376-3332,동탄구 도시건축과,031-5189-6742,2026-07-01
조암금광,경기도 화성시 만세구 우정읍 조암죽말길 236-6,아파트,3,297,24751.0,031-351-8211,만세구 도시건축과,031-5189-1251,2026-07-01
조암한라비발디,경기도 화성시 만세구 우정읍 조암동로 58,아파트,11,635,104083.0,031-351-4275,만세구 도시건축과,031-5189-1251,2026-07-01
화성 조암 스위트엠,경기도 화성시 만세구 우정읍 조암죽말길 228,아파트,4,224,,031-8055-8121,만세구 도시건축과,031-5189-1251,2026-07-01
산호,경기도 화성시 만세구 장안면 사랑길 13,아파트,5,406,33304.0,031-351-3814          ,만세구 도시건축과,031-5189-1252,2026-07-01
레이크반도유보라아이비파크9.0,경기도 화성시 동탄구 동탄대로 4길 95,아파트,13,689,,031-378-2493,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄호수자이파밀리에,경기도 화성시 동탄구 동탄대로2길 19,아파트,11,1067,,031-377-5120,동탄구 도시건축과,031-5189-6742,2026-07-01
금호어울림레이크,경기도 화성시 동탄구 동탄대로4길 17,아파트,10,812,,031-378-2802,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2신도시 호반베르디움 33단지,경기도 화성시 동탄구 동탄대로4다길 78,아파트,7,393,,031-373-5471,동탄구 도시건축과,031-5189-6742,2026-07-01
제일풍경채 에듀&파크,경기도 화성시 동탄구 동탄대로4가길 26,아파트,9,624,,031-378-4093,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄금호어울림레이크2차,경기도 화성시 동탄구 동탄대로1길 32,아파트,9,681,,031-372-8860,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2아이파크(A100블럭),경기도 화성시 동탄구 동탄대로4길 143,아파트,9,510,,031-378-2375,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄2아이파크(A99블럭),경기도 화성시 동탄구 동탄대로4길 123,아파트,6,470,,031-378-9096,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄레이크자연앤푸르지오,경기도 화성시 동탄구 동탄대로3길 33,아파트,8,704,,031-378-5395 ,동탄구 도시건축과,031-5189-6742,2026-07-01
한화포레나 동탄호수,경기도 화성시 동탄구 동탄순환대로4길 11,아파트,8,800,,031-373-1515,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄호수 우남 더 테라스,경기도 화성시 동탄구 동탄대로4길 18,도시형생활주택,9,238,,031-373-7484,동탄구 도시건축과,031-5189-6742,2026-07-01
LH동탄호수 하우스디,경기도 화성시 동탄구 동탄대로1길 66,아파트,7,516,,031-378-4872,동탄구 도시건축과,031-5189-6742,2026-07-01
동탄레이크파크 자연&e편한세상,경기도 화성시 동탄구 동탄순환대로8길 27,아파트,18,1227,,031-372-0135,동탄구 도시건축과,031-5189-6742,2026-07-01
동남훼미리,경기도 화성시 효행구 정남면 만년로 470,아파트,6,985,,031-353-7477,효행구 도시건축과,031-5189-7710,2026-07-01
근형심포니,경기도 화성시 효행구 정남면 발안로 1155,아파트,4,252,34189.0,031-373-3656,효행구 도시건축과,031-5189-7710,2026-07-01
병점화남1단지,경기도 화성시 병점구 병점중앙로 169번길 10,아파트,1,234,,031-237-5114,병점구 도시건축과,031-5189-4236,2026-07-01
병점화남2단지,경기도 화성시 병점구 병점중앙로169번길 5,아파트,1,181,,,병점구 도시건축과,031-5189-4236,2026-07-01
태안주공11단지,경기도 화성시 병점구 효행로 1075-10,아파트,8,598,,031-233-1978,병점구 도시건축과,031-5189-4236,2026-07-01
태안주공10단지,경기도 화성시 병점구 병점4로 102,아파트,10,742,,031-232-7842,병점구 도시건축과,031-5189-4236,2026-07-01
진안파크자이,경기도 화성시 병점구 병점중앙로 230-10,아파트,5,386,,031-898-7020,병점구 도시건축과,031-5189-4236,2026-07-01
"진안동 월드메르디앙 1,2단지",경기도 화성시 병점구 병점4로37/ 병점중앙로 204,아파트,7,545,,031-231-9659,병점구 도시건축과,031-5189-4236,2026-07-01
동탄2모아미래도,경기도 화성시 동탄구 동탄청계로 303-33,아파트,5,460,,031-378-4603,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 시범예미지,경기도 화성시 동탄구 동탄대로시범길 192,아파트,12,485,,031-613-8061,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄 시범계룡 리슈빌,경기도 화성시 동탄구 동탄대로시범길 236,아파트,15,656,,031-378-3303,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역KCC스위첸,경기도 화성시 동탄구 동탄청계로 303-14,아파트,7,640,,031-372-2765,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역시범호반써밋,경기도 화성시 동탄구 동탄대로시범길 122,아파트,13,1002,,031-378-1029,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 시범우남퍼스트빌,경기도 화성시 동탄구 동탄대로시범길 276,아파트,16,1442,,031-378-6905,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 시범대원칸타빌,경기도 화성시 동탄구 동탄대로시범길 53,아파트,9,498,,031-377-6705,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 센트럴푸르지오,경기도 화성시 동탄구 동탄순환대로21길 54,아파트,11,1348,,031-372-0974,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 롯데캐슬알바트로스,경기도 화성시 동탄구 동탄순환대로21길 53,아파트,16,1416,,031-373-8035,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 호반써밋,경기도 화성시 동탄구 동탄순환대로22길 45,아파트,9,922,,031-378-6157,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 시범더샵센트럴시티,경기도 화성시 동탄구 동탄대로시범길 19,아파트,8,874,,031-378-5839,동탄구 도시건축과,031-5189-6749,2026-07-01
대원칸타빌 포레지움,경기도 화성시 동탄구 동탄순환대로22길 14,아파트,8,714,,031-378-5482,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 시범한화 꿈에그린 프레스티지,경기도 화성시 동탄구 동탄대로시범길 20,아파트,25,1817,,031-378-4390,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 신안인스빌리베라,경기도 화성시 동탄구 동탄순환대로 21길 15,아파트,13,913,,031-378-4377,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 시범반도유보라아이비파크 1.0,경기도 화성시 동탄구 동탄대로시범길 168,아파트,12,904,,031-378-5074,동탄구 도시건축과,031-5189-6749,2026-07-01
신안 인스빌 리베라2차,경기도 화성시 동탄구 동탄청계로 303-13,아파트,8,644,,031-378-5034,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 더 힐,경기도 화성시 동탄구 동탄순환대로22길 46,아파트,13,718,,031-378-3847,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역시범 금강펜테리움 센트럴파크3,경기도 화성시 동탄구 동탄대로 시범길 235,아파트,5,252,,031-377-0525,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄역 시범반도유보라 아이비파크 4.0,경기도 화성시 동탄구 동탄대로시범길 134,아파트,6,740,,031-378-4631,동탄구 도시건축과,031-5189-6749,2026-07-01
화성진우,경기도 화성시 만세구 팔탄면 삼천병마로 584,아파트,4,656,48604.0,031-353-3382,만세구 도시건축과,031-5189-1252,2026-07-01
 향남지웰2차,경기도 화성시 만세구 향남읍 행정중앙2로 38,아파트,8,514,75381.0,031-8059-2674,만세구 도시건축과,031-5189-1251,2026-07-01
대방 노블랜드,경기도 화성시 만세구 향남읍 행정중앙2로 83,아파트,12,600,96238.0,031-8059-0340,만세구 도시건축과,031-5189-1251,2026-07-01
발안마을 주공,경기도 화성시 만세구 향남읍 발안서로 11,아파트,14,882,65620.0,031-359-8701,만세구 도시건축과,031-5189-1251,2026-07-01
발안우림필유,경기도 화성시 만세구 향남읍 발안남로 66,아파트,11,940,115368.0,031-366-0807,만세구 도시건축과,031-5189-1251,2026-07-01
복사꽃마을 한국아델리움,경기도 화성시 만세구 향남읍 행정동로 88,아파트,9,544,85746.0,031-8059-0351,만세구 도시건축과,031-5189-1251,2026-07-01
살구꽃마을 신영지웰,경기도 화성시 만세구 향남읍 행정중앙1로 63,아파트,6,365,75507.0,031-354-1825,만세구 도시건축과,031-5189-1251,2026-07-01
상록하늘채,경기도 화성시 만세구 향남읍 행정동로 83,아파트,12,638,98619.0,031-353-4516,만세구 도시건축과,031-5189-1251,2026-07-01
서봉마을 모아엘가 ,경기도 화성시 만세구 향남읍 상신하길로 274번길 61,아파트,6,496,75120.0,031-8059-6027,만세구 도시건축과,031-5189-1251,2026-07-01
서봉마을 사랑으로 부영3단지,경기도 화성시 만세구 향남읍 상신하길로 328번길 21,아파트,12,1122,169460.0,031-8059-2531,만세구 도시건축과,031-5189-1251,2026-07-01
신성미소지움1차,경기도 화성시 만세구 향남읍 삼천병마로 281-15,아파트,9,431,57378.0,031-353-6107,만세구 도시건축과,031-5189-1251,2026-07-01
신성미소지움2차,경기도 화성시 만세구 향남읍 삼천병마로 297번길 15,아파트,5,330,44598.0,031-366-4541,만세구 도시건축과,031-5189-1251,2026-07-01
제일오투그란데,경기도 화성시 만세구 향남읍 행정중앙2로 64,아파트,6,400,64083.0,031-353-0740,만세구 도시건축과,031-5189-1251,2026-07-01
향남 서봉마을4단지 모아미래도,경기도 화성시 만세구 향남읍 상신하길로273번길 57 ,아파트,13,894,,031-353-8110,만세구 도시건축과,031-5189-1251,2026-07-01
향남 에일린의 뜰,경기도 화성시 만세구 향남읍 행정중앙1로39,아파트,8,506,72039.0,031-8059-3555,만세구 도시건축과,031-5189-1251,2026-07-01
향남 우미린,경기도 화성시 만세구 향남읍 행정중앙2로 14,아파트,10,536,79198.0,031-366-6800,만세구 도시건축과,031-5189-1251,2026-07-01
향남신명스카이뷰,경기도 화성시 만세구 향남읍 행정서로 48,아파트,9,536,78407.0,031-8059-0420,만세구 도시건축과,031-5189-1251,2026-07-01
향남풍림아이원,경기도 화성시 만세구 향남읍 행정동로 64,아파트,14,788,115162.0,031-8059-1141,만세구 도시건축과,031-5189-1251,2026-07-01
향남한일베라체,경기도 화성시 만세구 향남읍 행정중앙1로 95,아파트,6,478,100672.0,031-8059-0321,만세구 도시건축과,031-5189-1251,2026-07-01
화성파크드림,경기도 화성시 만세구 향남읍 행정동로 22,아파트,11,622,74534.0,031-8059-3314,만세구 도시건축과,031-5189-1251,2026-07-01
향남역 한양수자인 디에스티지,경기도 화성시 만세구 향남읍 향남로39번길 19,아파트,11,945,137458.96,031-8047-0211,만세구 도시건축과,031-5189-1251,2026-07-01
파인팰리스,경기도 화성시 효행구 효행로291번길 21,아파트,1,90,,031-221-9737,효행구 도시건축과,031-5189-7710,2026-07-01
 민성주택,경기도 화성시 만세구 남양읍 남양시장로 65번길 19,연립,1,18,1050.84,,만세구 현장민원실,031-5189-1392,2026-07-01
헤르만하우스 남양,경기도 화성시 만세구 남양읍 화성로 1081번길 25,도시형생활주택,11,142,14928.8,,만세구 현장민원실,031-5189-1392,2026-07-01
시화,경기도 화성시 만세구 남양읍 남양시장로25번길 40,아파트,1,20,,,만세구 현장민원실,031-5189-1392,2026-07-01
백상화인빌,경기도 화성시 만세구 마도면 두곡서길26번길 5,아파트,1,88,9257.42,,만세구 현장민원실,031-5189-1392,2026-07-01
 삼미아파트,경기도 화성시 효행구 매송면 매송고색로422번길 77,아파트,3,165,6773.23,,효행구 도시건축과,031-5189-7709,2026-07-01
센트럴S타운,경기도 화성시 동탄구 메타폴리스로 47-25,주상복합,1,299,,031-613-2596,동탄구 도시건축과,031-5189-6749,2026-07-01
서해더블루스페이스,경기도 화성시 동탄구 메타폴리스로 47-7,주상복합,1,40,,031-8015-1337,동탄구 도시건축과,031-5189-6749,2026-07-01
서해더블루럭스,경기도 화성시 동탄구 동탄문화센터로 75,주상복합,1,90,,031-8015-2414,동탄구 도시건축과,031-5189-6749,2026-07-01
서해더블루팍스,경기도 화성시 동탄구 노작로 203,주상복합,1,90,,031-8015-2361,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄 플래티넘,경기도 화성시 동탄구 동탄지성로 2,주상복합,1,99,,031-613-4036,동탄구 도시건축과,031-5189-6749,2026-07-01
동양파라곤2차,경기도 화성시 동탄구 메타폴리스로 54,주상복합,1,90,,031-613-5186,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄벽산블루밍 타운하우스,경기도 화성시 동탄구 동탄중앙로 35,아파트,16,90,,031-8015-3223,동탄구 도시건축과,031-5189-6749,2026-07-01
 삼한주택,경기도 화성시 병점구 떡전골로 49,연립,2,36,,,병점구 도시건축과,031-5189-4739,2026-07-01
 시라맨숀,경기도 화성시 효행구 봉담읍 참샘길 26,연립,5,90,7568.16,,효행구 도시건축과,031-5189-7709,2026-07-01
 천보주택,경기도 화성시 효행구 봉담읍 진등2길 20-24,연립,2,40,4000.32,,효행구 도시건축과,031-5189-7709,2026-07-01
영풍,경기도 화성시 효행구 봉담읍 와우로 74-7,연립,1,132,13581.17,,효행구 도시건축과,031-5189-7709,2026-07-01
해오름마을 봉담그대가 2단지,경기도 화성시 효행구 봉담읍 참샘길 33,아파트,1,70,13191.969,,효행구 도시건축과,031-5189-7709,2026-07-01
