순번,단지명,회사명,공장대표주소(지번 및 도로명주소),업종번호,업종명,전화번호
337,화성마도일반산업단지,(주)아이에스오토 화성지점,"경기도 화성시 만세구 마도면 마도공단로2길 24-6, 3블럭9롯트",30320 ， 30400,자동차 차체용 신품 부품 제조업 외 1 종,031-356-6126
338,화성마도일반산업단지,(주)아이엠첨단소재,경기도 화성시 만세구 마도면 마도공단로4길 38,29272,디스플레이 제조용 기계 제조업,031-8047-9952
339,화성마도일반산업단지,(주)아템,"경기도 화성시 만세구 마도면 마도공단로 343, 마도지방산업단지 13-6(B/L)",29222 ， 29224,디지털 적층 성형기계 제조업 외 1 종,031-356-7120
340,화성마도일반산업단지,(주)에스에스에코텍,"경기도 화성시 만세구 마도면 마도공단로5길 48, 마도지방산업단지 11블록6롯트",25111 ， 29131 ， 29132 ， 29133 ， 29161 ， 29163 ， 29169 ， 29174 ， 29175 ， 29176 ， 29199 ， 29210 ， 29261 ， 29299,액체 여과기 제조업 외 13 종,031-427-9550
341,화성마도일반산업단지,(주)에스엔디코퍼레이션,"경기도 화성시 만세구 마도면 마도공단로 332-22, 마도일반산업단지 15-7블럭",25924 ， 29176 ， 29199 ， 29261 ， 29299,절삭가공 및 유사처리업 외 4 종,031-831-5783
342,화성마도일반산업단지,(주)에이디엠,"경기도 화성시 만세구 마도면 마도공단로5길 32, (마도일반산업단지 10-9블록)",25924,절삭가공 및 유사처리업,031-366-9015
343,화성마도일반산업단지,(주)에이스정공,경기도 화성시 만세구 마도면 쌍송리 마도지방산업단지 8블럭9롯트,29176 ， 29199,그 외 기타 일반목적용 기계 제조업 외 1 종,031-356-8445
344,화성마도일반산업단지,(주)에치케이씨,"경기도 화성시 만세구 마도면 마도공단로5길 4, (마도지방산업단지 9-3)",29133 ， 30310 ， 30331,"탭, 밸브 및 유사장치 제조업 외 2 종",031-488-8266
345,화성마도일반산업단지,(주)엔원테크,경기도 화성시 만세구 마도면 마도공단로6길 46-10,24290 ， 25122 ， 29271,금속탱크 및 저장용기 제조업 외 2 종,031-362-4310
346,화성마도일반산업단지,(주)영동,경기도 화성시 만세구 마도면 마도공단로2길 28,24191 ， 25921 ， 25922 ， 25923 ， 25929,"도금, 착색 및 기타 표면처리강재 제조업 외 4 종",031-357-5020
347,화성마도일반산업단지,(주)영산볼트,경기도 화성시 만세구 마도면 마도공단로 354-12,25912 ， 25941 ， 25942 ， 25999 ， 29223 ， 29224 ， 35114,볼트 및 너트류 제조업 외 6 종,031-495-7890
348,화성마도일반산업단지,(주)영신금속,"경기도 화성시 만세구 마도면 마도공단로 350, 마도지방산업단지 16블록 10롯트",25113 ， 25114 ， 25922,육상 금속 골조 구조재 제조업 외 2 종,031-366-9779
349,화성마도일반산업단지,(주)오티사이언스,경기도 화성시 만세구 마도면 마도공단로2길 32,24219 ， 26295 ， 26299,"기타 비철금속 제련, 정련 및 합금 제조업 외 2 종",031-355-9121
350,화성마도일반산업단지,(주)우리기술,"경기도 화성시 만세구 마도면 마도공단로1길 32, 마도지방산업단지 2-5블럭",25913 ， 25914 ， 29294,주형 및 금형 제조업 외 2 종,031-434-2604
351,화성마도일반산업단지,(주)우성에이디엠,경기도 화성시 만세구 마도면 쌍송리 666번지 마도지방산업단지 4블럭 1롯트,24321,알루미늄주물 주조업,031-357-0091
352,화성마도일반산업단지,(주)우진에어텍,경기도 화성시 만세구 마도면 마도공단로 356,25112,구조용 금속 판제품 및 공작물 제조업,031-433-2757
353,화성마도일반산업단지,(주)유림건드릴,"경기도 화성시 만세구 마도면 마도공단로4길 46-21, (쌍송리 675-10번지, 마도일반산업단지 8-1블록)",29223,금속 절삭기계 제조업,031-319-9082
354,화성마도일반산업단지,(주)유진이엔티,"경기도 화성시 만세구 마도면 마도공단로5길 30, 677-3번지(마도일반산업단지 10-10블럭)",29171,산업용 냉장 및 냉동 장비 제조업,031-355-5841
355,화성마도일반산업단지,(주)육인테크,"경기도 화성시 만세구 마도면 마도공단로2길 40, 마도일반산업단지 4-10블럭",24123,철강선 제조업,031-356-8800
356,화성마도일반산업단지,(주)이누테크,경기도 화성시 만세구 마도면 마도공단로5길 53,29224,금속 성형기계 제조업,031-3552-2961
357,화성마도일반산업단지,(주)이앤에프(ENF),"경기도 화성시 만세구 마도면 마도공단로1길 28, 마도지방산업단지 2-3블럭 ((주)하나이엠아이)",25921 ， 30331 ， 30400,자동차용 신품 동력전달장치 제조업 외 2 종,031-8055-0600
358,화성마도일반산업단지,(주)이엑스피 ,경기도 화성시 만세구 마도면 마도공단로4길 24-10,24222,"알루미늄 압연, 압출 및 연신제품 제조업",031-488-8376
359,화성마도일반산업단지,(주)이열보드,"경기도 화성시 만세구 마도면 마도공단로6길 46-10, 마도지방산업단지 13-10블럭",25111 ， 25112 ， 25113 ， 25114 ， 25119,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종",02-841-2980
360,화성마도일반산업단지,(주)전기로공업 ,경기도 화성시 만세구 마도면 마도공단로5길 46-18,29150,"산업용 오븐, 노 및 노용 버너 제조업",031-355-5357
361,화성마도일반산업단지,(주)정금형,"경기도 화성시 만세구 마도면 마도공단로1길 110, 마도지방산업단지 8-6블럭",29294,주형 및 금형 제조업,031-366-7946
362,화성마도일반산업단지,(주)제이아이엠티,경기도 화성시 만세구 마도면 마도공단로 347,25929,그 외 기타 금속가공업,
363,화성마도일반산업단지,(주)중앙하이프론 ,경기도 화성시 만세구 마도면 마도공단로 332-26,25122,금속탱크 및 저장용기 제조업,032-811-0114
364,화성마도일반산업단지,(주)지엠이노텍,"경기도 화성시 만세구 마도면 마도공단로2길 46-12, 마도지방산업4블럭5롯트",26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,031-357-9535
365,화성마도일반산업단지,(주)지엠이노텍,경기도 화성시 만세구 마도면 마도공단로2길 46-4,24290 ， 26299,기타 1차 비철금속 제조업 외 1 종,031-357-9535
366,화성마도일반산업단지,(주)진웅테크놀러지,"경기도 화성시 만세구 마도면 마도공단로5길 4, (마도지방산업단지 9-3)",29222 ， 29224,디지털 적층 성형기계 제조업 외 1 종,031-366-8611
367,화성마도일반산업단지,(주)진주메이트,경기도 화성시 만세구 마도면 마도공단로2길 45,30399,그 외 자동차용 신품 부품 제조업,031-494-1624
368,화성마도일반산업단지,(주)창대기업,경기도 화성시 만세구 마도면 마도공단로 355,25923,도장 및 기타 피막처리업,031-366-8477
369,화성마도일반산업단지,(주)켐프론테크 ,경기도 화성시 만세구 마도면 마도공단로 332-26,25122,금속탱크 및 저장용기 제조업,
370,화성마도일반산업단지,(주)코메트,"경기도 화성시 만세구 마도면 마도공단로6길 46-3, 마도지방산업단지 14-3블럭",25922 ， 26212 ， 26219,도금업 외 2 종,031-357-4871
371,화성마도일반산업단지,(주)태종,"경기도 화성시 만세구 마도면 마도공단로 356, 1동",25112 ， 25113 ， 29172,구조용 금속 판제품 및 공작물 제조업 외 2 종,031-355-5915
372,화성마도일반산업단지,(주)파라,"경기도 화성시 만세구 마도면 마도공단로1길 38, 마도지방산업단지 2블럭 10롯트",29175 ， 30391 ， 30392 ， 30399 ， 30400,그 외 자동차용 신품 부품 제조업 외 4 종,031-831-8770
373,화성마도일반산업단지,(주)포스젯한도,경기도 화성시 만세구 마도면 마도공단로5길 46-10 (만세구 마도면),29261 ， 29299,그 외 기타 특수목적용 기계 제조업 외 1 종,031-355-9222
374,화성마도일반산업단지,(주)포엔,경기도 화성시 만세구 마도면 마도공단로2길 24-16,26299,그 외 기타 전자부품 제조업,031-429-7139
375,화성마도일반산업단지,(주)하나이엠아이,"경기도 화성시 만세구 마도면 마도공단로1길 28, 마도지방산업단지 2-3블럭",30320 ， 30400,자동차 차체용 신품 부품 제조업 외 1 종,031-366-8000
376,화성마도일반산업단지,(주)한강엔지니어링,"경기도 화성시 만세구 마도면 마도공단로5길 46-14, 마도지방산업단지 10블록 8롯트",25122 ， 25123 ， 27213 ， 29261 ， 29299,그 외 기타 특수목적용 기계 제조업 외 4 종,031-355-8114
377,화성마도일반산업단지,(주)한성GT,경기도 화성시 만세구 마도면 쌍송리 375-4번지 외 1필지,68112,비주거용 건물 임대업,031-366-9500
378,화성마도일반산업단지,(주)해밀이엔지,경기도 화성시 만세구 마도면 마도공단로5길 26,29293,인쇄 및 제책용 기계 제조업,031-356-8359
379,화성마도일반산업단지,(주)화성비엔텍,경기도 화성시 만세구 마도면 마도공단로1길 206,25121,산업용 난방보일러 및 방열기 제조업,031-357-8493
380,화성마도일반산업단지,갈롤코리아(주),경기도 화성시 만세구 마도면 마도공단로 333 (만세구 마도면),25923,도장 및 기타 피막처리업,031-355-6173
381,화성마도일반산업단지,강원코일센타,경기도 화성시 만세구 마도면 마도공단로1길 70,24199,그 외 기타 1차 철강 제조업,031-358-2161
382,화성마도일반산업단지,경성,"경기도 화성시 만세구 마도면 마도공단로4길 46-20, 마도일반산업단지 7-2블록 ((주)금강기술)",25929,그 외 기타 금속가공업,031-356-5002
383,화성마도일반산업단지,경신테크,"경기도 화성시 만세구 마도면 마도공단로2길 19, 마도지방산업단지1블록-3",29163 ， 29169,컨베이어장치 제조업 외 1 종,031-355-9276
384,화성마도일반산업단지,고원테크,경기도 화성시 만세구 마도면 마도공단로5길 38,25929 ， 25995 ， 25999 ， 29176 ， 29199 ， 35114,그 외 기타 일반목적용 기계 제조업 외 5 종,031-357-8222
385,화성마도일반산업단지,규원산업(주),경기도 화성시 만세구 마도면 마도공단로 339,25122 ， 26299 ， 28111 ， 29132,금속탱크 및 저장용기 제조업 외 3 종,031-366-0471
386,화성마도일반산업단지,금강변압기,경기도 화성시 만세구 마도면 마도공단로1길 214,28112 ， 28121 ， 28122,변압기 제조업 외 2 종,031-356-1152
387,화성마도일반산업단지,금강산업기계,경기도 화성시 만세구 마도면 마도공단로 332-9,25924,절삭가공 및 유사처리업,031-355-3786
388,화성마도일반산업단지,금풍산업,경기도 화성시 만세구 마도면 쌍송리 667-7번지 마도지방산업단지 4-9블럭,24290 ， 25932,기타 1차 비철금속 제조업 외 1 종,031-355-9337
389,화성마도일반산업단지,대경에스코(주),경기도 화성시 만세구 마도면 쌍송리 마도지방산업단지 9블럭 7롯트,,,032-817-5100
390,화성마도일반산업단지,대광산업기계(주),"경기도 화성시 만세구 마도면 마도공단로4길 48, 마도일반산업단지 8-3블럭","25122, 25123",금속탱크 및 저장용기 제조업 외 1 종,031-357-5907
391,화성마도일반산업단지,대명기업,"경기도 화성시 만세구 마도면 마도공단로 354-15, 마도지방산업단지 17블럭 4롯트","25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,031-357-7697
392,화성마도일반산업단지,대성금속 ,경기도 화성시 만세구 마도면 마도공단로5길 17,29133,"탭, 밸브 및 유사장치 제조업",031-356-7138
393,화성마도일반산업단지,대성정공 ,경기도 화성시 만세구 마도면 마도공단로4길 46-15,29133,"탭, 밸브 및 유사장치 제조업",02-894-8055
394,화성마도일반산업단지,대성테크,경기도 화성시 만세구 마도면 쌍송리 675-11 번지 8-2B/L,"24132, 24133",강관 제조업 외 1 종,
395,화성마도일반산업단지,대성화학기계,"경기도 화성시 만세구 마도면 마도공단로 354-18, 마도지방산업단지 16-6블럭","25119, 25122, 28909, 29175, 29230, 29242, 29292, 29299",기타 구조용 금속제품 제조업 외 7 종,031-355-6348
396,화성마도일반산업단지,대영산기,경기도 화성시 만세구 마도면 마도공단로 332-16,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-366-9377
397,화성마도일반산업단지,대원정밀공업(주),"경기도 화성시 만세구 마도면 마도공단로4길 46-12, 마도지방산업단지 7-3블럭","29142, 29199, 30393",기어 및 동력전달장치 제조업 외 2 종,031-489-0719
398,화성마도일반산업단지,대유라디에터공업(주),"경기도 화성시 만세구 마도면 마도공단로5길 46-17, 일반산업단지 11-1",29176,"증류기, 열교환기 및 가스발생기 제조업",031-494-4411
399,화성마도일반산업단지,대진기업(주),경기도 화성시 만세구 마도면 마도공단로 346,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,031-366-8240
400,화성마도일반산업단지,대진볼트공업(주),경기도 화성시 만세구 마도면 마도공단로4길 10,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2 종,031-355-8835
401,화성마도일반산업단지,대진볼트공업(주),경기도 화성시 만세구 마도면 마도공단로4길 24-14,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2 종,031-493-8835
402,화성마도일반산업단지,대화콘베어체인,"경기도 화성시 만세구 마도면 마도공단로1길 198, (마도일반산업단지 17-5블록)","25999, 29142, 29163, 29294",주형 및 금형 제조업 외 3 종,031-431-4115
403,화성마도일반산업단지,동영산업(주),"경기도 화성시 만세구 마도면 마도공단로1길 250, 마도일반산업단지 15-12블록","30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-356-0012
404,화성마도일반산업단지,리치테크,경기도 화성시 만세구 마도면 마도공단로 354-9,"25119, 25995, 25999",기타 구조용 금속제품 제조업 외 2 종,
405,화성마도일반산업단지,미성산업,경기도 화성시 만세구 마도면 마도공단로4길 8 외 1필지,"25113, 25114, 35114",육상 금속 골조 구조재 제조업 외 2 종,031-355-2996
406,화성마도일반산업단지,미우산업,경기도 화성시 만세구 마도면 마도공단로1길 54,"30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-355-9454
407,화성마도일반산업단지,백천스틸(주),경기도 화성시 만세구 마도면 쌍송리 마도지방산업단지 17블럭 3롯트,24123,철강선 제조업,070-7717-8196
408,화성마도일반산업단지,본하이테크(주),경기도 화성시 만세구 마도면 마도공단로6길 46-16 (만세구 마도면),"24229, 29294, 30391, 30392, 30399, 30400",주형 및 금형 제조업 외 5 종,031-495-6914
409,화성마도일반산업단지,본하이테크(주),경기도 화성시 만세구 마도면 마도공단로6길 46-13,"24229, 29294, 30391, 30392, 30399, 30400",주형 및 금형 제조업 외 5 종,031-495-6914
410,화성마도일반산업단지,부경진공,"경기도 화성시 만세구 마도면 마도공단로1길 76, 마도지방산업단지 5블럭 2롯트","24191, 25923","도금, 착색 및 기타 표면처리강재 제조업 외 1 종",031-355-3229
411,화성마도일반산업단지,비씨씨(주),"경기도 화성시 만세구 마도면 마도공단로1길 154, 마도산업단지 14블럭 6롯트","20495, 20499, 25929",그 외 기타 금속가공업 외 2 종,031-355-8897
412,화성마도일반산업단지,선호기업,경기도 화성시 만세구 마도면 마도공단로 356,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-355-4003
413,화성마도일반산업단지,성보P&T(주),"경기도 화성시 만세구 마도면 마도공단로1길 24-10, 마도산업단지 1블럭 2롯트","30331, 30400",자동차용 신품 동력전달장치 제조업 외 1 종,031-363-3710
414,화성마도일반산업단지,성산건설(주),경기도 화성시 만세구 마도면 마도공단로2길 46-4,"25112, 25119",구조용 금속 판제품 및 공작물 제조업 외 1 종,031-8018-2550
415,화성마도일반산업단지,성안기계(주),"경기도 화성시 만세구 마도면 마도공단로6길 33, 마도지방산업단지 10블럭1롯트",29293,인쇄 및 제책용 기계 제조업,031-491-9741
416,화성마도일반산업단지,세광산업,"경기도 화성시 만세구 마도면 마도공단로5길 10, (마도일반산업단지 9-7블록, 쌍송리 678-2번지)","25113, 25114, 29175",액체 여과기 제조업 외 2 종,031-319-3233
417,화성마도일반산업단지,세기인더스 주식회사,경기도 화성시 만세구 마도면 마도공단로1길 76,24191,"도금, 착색 및 기타 표면처리강재 제조업",031-355-8939
418,화성마도일반산업단지,세아이엔지,경기도 화성시 만세구 마도면 마도공단로 332-9,29175,액체 여과기 제조업,031-492-7722
419,화성마도일반산업단지,세원펀칭,경기도 화성시 만세구 마도면 쌍송리 591-51번지 마도지방산업단지 15블럭 2롯트,"25995, 25999, 29222, 29224",디지털 적층 성형기계 제조업 외 3 종,031-356-7083
420,화성마도일반산업단지,신덕산업(주),경기도 화성시 만세구 마도면 마도공단로1길 108,"25913, 25914, 29294",주형 및 금형 제조업 외 2 종,031-357-7433
421,화성마도일반산업단지,신라파이어(주),"경기도 화성시 만세구 마도면 마도공단로6길 34, (마도일반산업단지 13-5블록)","24290, 25113, 25114, 25924, 25929, 25995, 25999, 29133, 29193, 30122, 30201, 30202",기타 1차 비철금속 제조업 외 11 종,031-356-4119
422,화성마도일반산업단지,신성소재(주),"경기도 화성시 만세구 마도면 마도공단로 354-22, 마도지방산업단지 16블럭 2롯트",24229,"기타 비철금속 압연, 압출 및 연신 제품 제조업",031-366-7781
423,화성마도일반산업단지,신정엔지니어링(주),경기도 화성시 만세구 마도면 마도공단로1길 242,25122,금속탱크 및 저장용기 제조업,031-355-7083
424,화성마도일반산업단지,씨앤아이기계공업(주),"경기도 화성시 만세구 마도면 마도공단로4길 48, 마도지방산업단지 8-3블럭","28123, 29161, 29169",산업용 트럭 및 적재기 제조업 외 2 종,031-355-3663
425,화성마도일반산업단지,알로이메탈산업,경기도 화성시 만세구 마도면 마도공단로2길 52,24290,기타 1차 비철금속 제조업,02-2638-0323
426,화성마도일반산업단지,에스비더블유생명과학(주),"경기도 화성시 만세구 마도면 마도공단로2길 4, 마도지방산업단지 3블럭 1롯트",26299,그 외 기타 전자부품 제조업,031-366-9638
427,화성마도일반산업단지,에이앤피산업(주),경기도 화성시 만세구 마도면 마도공단로5길 60 (만세구 마도면),"29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-357-6575
428,화성마도일반산업단지,에이앤피산업(주),경기도 화성시 만세구 마도면 마도공단로6길 57,"25999, 29299",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-357-6575
429,화성마도일반산업단지,에프디시스(주),경기도 화성시 만세구 마도면 마도공단로2길 14,"26421, 29172, 29174, 29299",방송장비 제조업 외 3 종,031-366-8405
430,화성마도일반산업단지,예성,"경기도 화성시 만세구 마도면 마도공단로1길 102, 마도지방산업단지 8-10블럭 (신성금속)","30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-356-8396
431,화성마도일반산업단지,오유테크코리아,경기도 화성시 만세구 마도면 마도공단로1길 62,25924,절삭가공 및 유사처리업,031-355-6526
432,화성마도일반산업단지,와산업(주) ,경기도 화성시 만세구 마도면 마도공단로 332-12,25122,금속탱크 및 저장용기 제조업,031-494-0611
433,화성마도일반산업단지,원이엔지 ,경기도 화성시 만세구 마도면 마도공단로 332-9,25932,일반철물 제조업,031-355-9534
434,화성마도일반산업단지,위버텍(주),"경기도 화성시 만세구 마도면 마도공단로4길 38, (마도일반산업단지 7-4블록, 쌍송리 674-3)","26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-8069-8011
435,화성마도일반산업단지,유니슨엔지니어링(주),경기도 화성시 만세구 마도면 마도공단로1길 96,"29173, 29176, 29199",그 외 기타 일반목적용 기계 제조업 외 2 종,031-355-9313
436,화성마도일반산업단지,유원메탈,경기도 화성시 만세구 마도면 마도공단로4길 46-20,25929,그 외 기타 금속가공업,031-356-5002
437,화성마도일반산업단지,은화기업,경기도 화성시 만세구 마도면 마도공단로6길 7,25121,산업용 난방보일러 및 방열기 제조업,070-4355-2090
438,화성마도일반산업단지,인알파코리아(주),경기도 화성시 만세구 마도면 마도공단로2길 39,"30310, 30400",자동차 엔진용 신품 부품 제조업 외 1 종,031-369-8000
439,화성마도일반산업단지,인알파코리아(주),경기도 화성시 만세구 마도면 마도공단로4길 17,"30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-369-8000
440,화성마도일반산업단지,인알파코리아(주),경기도 화성시 만세구 마도면 마도공단로5길 35,29169,기타 물품 취급장비 제조업,031-369-8000
441,화성마도일반산업단지,전기로공업,"경기도 화성시 만세구 마도면 마도공단로5길 46-18, 마도지방산업단지 10-7블럭","29150, 29171","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",031-355-5357
442,화성마도일반산업단지,제이엠테크닉스(주),경기도 화성시 만세구 마도면 마도공단로4길 46-13,"25924, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-431-8086
443,화성마도일반산업단지,제일이엔에스(주) 화성공장,"경기도 화성시 만세구 마도면 마도공단로4길 11, 마도지방산업단지 3블록 3롯트","25122, 25123, 26121, 26129, 29229",발광 다이오드 제조업 외 4 종,031-357-6751
444,화성마도일반산업단지,젬코텍,"경기도 화성시 만세구 마도면 마도공단로 333, 마도지방산업단지 13블록 1롯트",68112,비주거용 건물 임대업,031-356-6603
445,화성마도일반산업단지,주식회사 동기피엔아이,경기도 화성시 만세구 마도면 마도공단로2길 19,"29294, 30320",자동차 차체용 신품 부품 제조업 외 1 종,031-355-9860
446,화성마도일반산업단지,주식회사 비앤에이,경기도 화성시 만세구 마도면 마도공단로5길 48,29299,그 외 기타 특수목적용 기계 제조업,031-359-6948
447,화성마도일반산업단지,주식회사 아민,경기도 화성시 만세구 마도면 마도공단로 354-24,25113,육상 금속 골조 구조재 제조업,031-366-8117
448,화성마도일반산업단지,주식회사블루그린,경기도 화성시 만세구 마도면 마도공단로5길 48,29299,그 외 기타 특수목적용 기계 제조업,031-359-6948
449,화성마도일반산업단지,지코아시아 주식회사 ,경기도 화성시 만세구 마도면 마도공단로4길 48,29150,"산업용 오븐, 노 및 노용 버너 제조업",070-4630-9500
450,화성마도일반산업단지,지테크산업(주),"경기도 화성시 만세구 마도면 마도공단로1길 142, 마도지방산업단지 14-5","25112, 25922",도금업 외 1 종,031-357-5902
451,화성마도일반산업단지,지테크산업(주),"경기도 화성시 만세구 마도면 마도공단로 361, (마도일반산업단지 14-4블록)",25922,도금업,031-357-5902
452,화성마도일반산업단지,진영철강(주),"경기도 화성시 만세구 마도면 마도공단로6길 11, 9-2B/L",24123,철강선 제조업,031-432-9679
453,화성마도일반산업단지,창현공조,경기도 화성시 만세구 마도면 마도공단로1길 246,"25995, 25999, 29173",그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,031-426-7820
454,화성마도일반산업단지,코웨이엔텍 주식회사  ,경기도 화성시 만세구 마도면 마도공단로4길 24-4,29175,액체 여과기 제조업,02-910-2663
455,화성마도일반산업단지,태양기어,경기도 화성시 만세구 마도면 마도공단로4길 46-4,29142,기어 및 동력전달장치 제조업,031-356-9002
456,화성마도일반산업단지,태흥유압,경기도 화성시 만세구 마도면 마도공단로 354-15,"29120, 29132, 29222, 29224",유압기기 제조업 외 3 종,
457,화성마도일반산업단지,티엠씨테크,"경기도 화성시 만세구 마도면 마도공단로 354-5, (쌍송리 690-4, 마도일반산업단지 17-1블록)","25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-509-8900
458,화성마도일반산업단지,플러스에이원(주) ,경기도 화성시 만세구 마도면 마도공단로 332-16,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-891-8194
459,화성마도일반산업단지,한국터치스크린(주),경기도 화성시 만세구 마도면 마도공단로2길 14,26299,그 외 기타 전자부품 제조업,031-355-5664
460,화성마도일반산업단지,한국파렛트풀(주),경기도 화성시 만세구 마도면 마도공단로5길 24-4,30203,트레일러 및 세미트레일러 제조업,02-3669-7442
461,화성마도일반산업단지,한국파렛트풀(주),"경기도 화성시 만세구 마도면 마도공단로5길 16, 16(쌍송리678-3 제나동호)",30203,트레일러 및 세미트레일러 제조업,02-3669-7443
462,화성마도일반산업단지,한성,"경기도 화성시 만세구 마도면 마도공단로5길 53, (675-4번지, 8-4블록)",29229,기타 가공 공작기계 제조업,031-678-7600
463,화성마도일반산업단지,한스(주),경기도 화성시 만세구 마도면 쌍송리 마도산업단지 2블럭 10롯트,29175,액체 여과기 제조업,031-831-8770
464,화성마도일반산업단지,한양종합기계,경기도 화성시 만세구 마도면 마도공단로1길 240,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-355-1160
465,화성마도일반산업단지,한이금속(주),"경기도 화성시 만세구 마도면 마도공단로6길 7, 9-1B/L",25121,산업용 난방보일러 및 방열기 제조업,070-4355-2090
466,화성마도일반산업단지,한일기계공업(주),"경기도 화성시 만세구 마도면 마도공단로 354-12, 마도지방산업단지 16-11","29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-355-2937
467,화성마도일반산업단지,해성메탈 ,경기도 화성시 만세구 마도면 마도공단로5길 17,29133,"탭, 밸브 및 유사장치 제조업",031-435-6664
468,화성마도일반산업단지,핸즈식스(주),"경기도 화성시 만세구 마도면 마도공단로6길 12, 마도일반산업단지 12-1블록","30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 3 종,031-370-8000
469,화성마도일반산업단지,핸즈식스(주),"경기도 화성시 만세구 마도면 마도공단로6길 18, 마도일반산업단지 12-2블럭(682-1번지)","24212, 25112, 30391, 30392, 30399, 30400",그 외 자동차용 신품 부품 제조업 외 5 종,031-370-8005
470,화성마도일반산업단지,핸즈식스(주) ,경기도 화성시 만세구 마도면 마도공단로5길 24-18,"25929, 29169",기타 물품 취급장비 제조업 외 1 종,031-370-8011
471,화성마도일반산업단지,혁성정밀,경기도 화성시 만세구 마도면 마도공단로 332-18,25924,절삭가공 및 유사처리업,031-431-0456
472,화성마도일반산업단지,현대ENG,경기도 화성시 만세구 마도면 마도공단로1길 230,"25995, 25999",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-356-6358
473,화성마도일반산업단지,흥광테크(주),"경기도 화성시 만세구 마도면 마도공단로5길 16, 마도지방산업단지 9블럭 8롯트",25924,절삭가공 및 유사처리업,031-366-8595
474,화성마도일반산업단지,흥국공업(주),"경기도 화성시 만세구 마도면 마도공단로6길 51, 마도지방산업단지 11블럭2롯트","29150, 29171, 29174","산업용 오븐, 노 및 노용 버너 제조업 외 2 종",031-366-7255
475,화성발안일반산업단지,(사)한국교통장애인협회사업부,"경기도 화성시 만세구 향남읍 발안공단로3길 35, 가동","25112, 25113, 25114, 28123, 28903",배전반 및 전기 자동제어반 제조업 외 4 종,031-544-3133
476,화성발안일반산업단지,(주)21하이테크,경기도 화성시 만세구 향남읍 발안공단로4길 81,29172,공기 조화장치 제조업,031-8059-6896
477,화성발안일반산업단지,(주)YG산업,경기도 화성시 만세구 향남읍 발안공단로4길 71-19,"25941, 25942, 25999, 26295, 26299, 29142, 68119, 70129, 70130",볼트 및 너트류 제조업 외 8 종,031-498-0186
478,화성발안일반산업단지,(주)건영테크 지점,"경기도 화성시 만세구 향남읍 발안공단로4길 110 2동 105호, 305호",25922,도금업,031-225-2866
479,화성발안일반산업단지,(주)구두레인터내셔날,경기도 화성시 만세구 향남읍 발안공단로4길 31,26429,기타 무선 통신장비 제조업,02-2603-9715
480,화성발안일반산업단지,(주)국전약품,"경기도 화성시 만세구 향남읍 발안공단로 8, 발안지방산업단지 32-4",21101,의약용 화합물 및 항생물질 제조업,031-352-8179
481,화성발안일반산업단지,(주)국전약품,경기도 화성시 만세구 향남읍 발안공단로 8,21101,의약용 화합물 및 항생물질 제조업,070-4099-3951
482,화성발안일반산업단지,(주)금강테크,경기도 화성시 만세구 향남읍 발안공단로4길 21,28123,배전반 및 전기 자동제어반 제조업,031-366-5946
483,화성발안일반산업단지,(주)나이스텍,"경기도 화성시 만세구 향남읍 제약단지로 13-9, (하길리1403-6번지)",25929,그 외 기타 금속가공업,031-227-2662
484,화성발안일반산업단지,(주)남영공조시스템이엔지,경기도 화성시 만세구 향남읍 발안공단로1길 23,"29172, 29173, 70129",기타 공학 연구개발업 외 2 종,031-477-5780
485,화성발안일반산업단지,(주)네오유디유,경기도 화성시 만세구 향남읍 구문천리번지 발안지방산업단지 6-10블럭,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,031-401-7425
486,화성발안일반산업단지,(주)네오페이퍼,경기도 화성시 만세구 향남읍 발안공단로 301,25929,그 외 기타 금속가공업,031-353-3710
